track_id;artist_id;track_name_id
2;1;29221
4;2;47232
7;7;41407
8;1;75567
9;8;78059
10;8;72313
12;8;42001
13;8;15904
16;12;45570
17;13;57283
19;13;24482
20;14;18153
21;15;53130
22;15;53172
25;15;55989
26;15;11322
27;15;46623
28;17;48329
29;15;84893
30;15;56991
31;15;38861
32;15;7305
33;15;6894
34;15;7367
35;15;19251
37;7;59724
39;12;63449
40;15;84022
41;15;79284
42;15;13506
43;15;44492
44;16;71282
45;15;16217
46;15;46787
48;15;84256
49;15;38842
50;20;51713
51;15;11183
54;22;38851
55;23;29648
56;23;78560
57;23;77262
58;23;65882
59;23;71757
60;23;3933
62;23;25058
66;23;57351
67;23;74880
68;23;25682
69;23;25980
70;23;14132
72;12;10570
73;19;70275
74;28;23507
75;23;42080
76;23;78177
77;23;35925
78;23;11800
79;29;54536
84;31;41919
85;31;21693
86;32;15957
88;31;15323
91;4;74763
95;4;83887
96;4;71223
98;4;20137
99;4;38875
101;37;47237
102;4;28443
104;4;69758
105;38;78490
106;39;76837
110;12;23577
111;25;67128
114;40;74746
117;40;16883
118;40;39918
119;40;64612
120;11;66938
121;40;80941
125;43;62698
127;44;9509
128;43;64833
129;30;41513
130;43;5127
131;45;48510
132;46;78497
135;47;67124
137;47;14863
139;47;14861
141;47;14862
147;20;27594
152;17;84306
158;9;82213
170;54;40441
173;55;23345
174;18;25884
177;48;28425
178;55;18970
181;56;58159
182;57;47967
183;54;38213
185;12;43222
188;59;62694
191;18;22847
192;37;30245
194;9;39695
202;62;81845
210;30;20351
216;31;60778
217;25;2067
220;9;48255
222;66;31535
223;67;26829
230;71;23624
233;72;27397
234;73;60232
237;71;80159
240;12;53712
242;29;43894
244;12;82402
247;12;62352
249;75;31480
251;12;32825
252;12;82321
253;12;44062
254;12;66045
256;75;53166
259;12;4035
261;12;27014
263;12;36224
264;77;69177
271;55;7671
272;54;14684
273;28;46380
274;54;2183
276;54;10946
277;54;78187
278;54;49979
279;54;36153
283;54;30600
285;54;28110
286;85;36086
287;55;44740
288;43;44326
289;86;74607
291;37;7561
293;7;78964
294;87;77141
297;69;78650
301;92;19697
307;19;23996
310;95;38503
311;96;74567
323;99;46553
325;37;44232
328;9;28822
331;54;21056
332;54;10530
333;9;8736
335;54;5499
337;54;77779
339;54;46541
340;25;84176
341;54;70948
342;54;74746
343;54;51698
344;54;10752
346;12;9361
347;20;16343
350;54;70698
352;97;65624
358;54;82040
363;4;17342
369;30;29455
374;44;46077
376;16;71671
380;19;79911
383;97;38514
387;79;41858
391;30;59962
392;104;3181
393;104;22028
394;104;4652
395;105;77394
397;22;16157
398;106;38683
399;20;51692
406;59;29522
407;59;41605
408;59;83540
409;59;76112
410;3;79110
412;4;75813
414;59;5153
415;59;10022
417;59;13532
419;59;63078
420;16;64779
421;59;48608
422;110;18526
426;113;7204
427;16;30459
429;20;27410
434;106;66158
440;46;82907
441;9;42548
443;20;21839
444;46;79965
445;115;76064
446;7;48806
449;30;52082
450;115;72485
454;115;38018
455;54;8890
461;7;73812
462;115;40551
463;115;25821
464;115;19917
470;4;50154
471;115;58760
472;115;51924
474;115;18717
475;115;38390
476;115;8077
482;54;83708
486;85;79375
493;105;9542
494;105;11366
495;105;7872
512;17;11614
517;122;35389
522;67;22734
524;19;17903
525;19;22236
526;19;12824
527;3;74888
528;66;68204
532;19;48974
535;85;30002
536;85;13441
538;30;72188
540;4;23909
543;85;48685
560;4;62626
563;20;66906
566;128;59770
567;129;60609
569;4;20437
575;16;41303
576;4;5949
580;132;61486
581;29;11274
587;137;68836
590;138;59485
591;105;57841
594;27;12165
595;104;61366
596;104;18741
597;104;11910
598;104;36400
603;104;47996
604;104;6563
606;104;766
607;104;31912
608;104;40460
614;20;52902
615;20;53049
616;20;43419
620;22;13859
623;27;46051
630;147;18160
631;3;73793
632;27;46520
638;140;15581
650;140;77219
652;135;57068
660;149;46988
666;28;75331
668;140;46022
669;140;2216
674;153;72776
677;146;73201
678;67;25537
689;12;23740
690;12;15871
691;12;79644
692;12;11977
693;12;73187
694;12;9456
695;12;3248
700;71;11323
701;12;15889
703;71;27038
706;4;13281
707;71;69615
708;56;12883
710;140;33336
711;56;26083
715;56;19394
719;56;17439
723;56;45519
724;156;38382
730;149;19671
731;44;29263
732;67;21691
743;48;58095
745;19;14865
748;44;22511
749;9;64955
750;22;78855
756;44;46968
757;44;3368
758;3;10829
759;163;67558
760;163;80301
769;44;82321
774;92;12736
778;166;81398
784;22;51198
785;22;6343
787;166;39843
790;44;67063
793;44;34669
803;105;33473
805;22;953
806;22;28653
808;166;7693
811;22;50027
814;166;22383
815;166;75974
816;166;81900
817;166;2923
820;166;30453
829;22;75152
830;22;54132
831;22;48251
836;169;75917
839;171;2393
841;22;13862
842;7;35123
845;7;25422
847;135;14646
857;129;45522
859;67;20224
861;176;66214
867;27;52494
868;82;49241
869;48;62708
873;153;23003
875;174;9077
880;105;4997
881;105;13955
882;105;56752
883;105;60927
885;79;13008
886;79;82343
890;3;74959
891;105;22378
892;105;18037
893;105;79101
894;105;13137
899;3;22155
901;3;5365
909;183;81039
914;79;12533
915;54;66908
917;17;13722
921;185;61559
922;56;58469
923;186;35370
924;187;59479
925;187;25793
929;186;81664
934;188;7224
938;12;74657
939;12;41299
941;12;10758
944;3;72262
945;12;51784
946;12;14707
947;12;58486
948;12;8182
949;12;11339
950;12;52243
952;12;14625
954;172;4543
957;69;82355
958;79;27562
962;7;73553
967;194;64087
969;140;5356
971;172;74653
973;49;38433
974;140;80056
977;198;66534
979;51;39849
983;36;29082
989;140;43154
