user_id;Mainstream;country;gender;Age
20146143;0;13;1;10
47706954;0;5;1;10
48888997;0;40;1;10
10519286;0;2;1;20
46124973;0;13;1;10
46969443;0;0;0;10
48411267;0;13;1;10
48280829;0;45;1;20
6124452;0;21;1;20
6017403;0;45;1;20
39125096;0;45;1;20
13550637;0;39;1;20
31365192;0;45;0;30
46321260;0;45;1;40
6464088;0;39;1;30
8697393;0;35;1;10
14145793;0;5;1;20
37789639;0;22;0;30
35389703;0;35;1;10
18357256;0;35;1;10
22857554;0;45;1;20
17958709;0;45;1;60
2968467;0;45;1;20
8843427;0;45;1;20
31779358;0;44;1;20
35328615;0;35;1;40
40374269;0;11;0;10
21117769;0;44;1;50
4722861;0;35;1;20
13686069;0;33;1;40
14854927;0;35;0;10
5426684;0;45;1;20
48501447;0;45;1;20
4926271;0;45;1;20
49077368;0;16;1;60
15200639;0;41;1;20
13776857;0;2;1;20
47885122;0;5;1;20
42433958;0;45;1;10
39177243;0;10;1;20
41508961;0;5;0;20
10107484;0;17;0;20
2391075;0;7;0;20
21664632;0;5;1;20
42351116;0;39;1;30
25258875;0;45;1;10
27328516;0;44;1;10
8991303;0;12;1;20
14864784;0;4;1;40
7472315;0;32;1;30
30556353;0;39;1;20
40899009;0;35;0;20
14207588;0;35;1;20
24676138;0;13;1;20
43039713;0;8;0;20
6578859;0;44;1;20
12966151;0;45;0;10
39251406;0;1;1;10
12436816;0;45;1;20
17035824;0;35;0;20
38723869;0;45;0;20
15151352;0;43;1;30
3996907;0;12;0;20
41693536;0;9;1;20
20236723;0;5;1;20
13972084;0;2;1;20
49582326;0;5;1;10
31001765;0;21;1;30
6544863;0;39;1;20
39685444;0;13;1;20
21349889;0;45;1;30
9226910;0;4;1;20
31429509;0;5;1;20
26301648;0;17;0;10
27157364;0;45;1;20
41909551;0;2;1;10
3337513;0;45;1;30
24521594;0;35;0;10
45757274;0;22;1;20
42658567;0;44;0;10
11182491;0;16;1;10
37287323;0;22;0;20
47714509;0;5;1;10
36809108;0;35;1;10
26629794;0;5;1;10
47510000;0;16;0;20
29235495;0;5;0;20
43109689;0;18;1;40
47522615;0;5;0;20
25477759;0;45;1;10
48662054;0;39;1;10
49317227;0;44;1;0
26236539;0;5;1;10
34072034;0;45;0;20
35486338;0;6;1;20
19274747;0;13;1;30
39589353;0;45;0;10
5400607;0;7;1;20
49079100;0;2;0;20
45906842;0;35;0;10
4666436;0;44;1;20
5596586;0;2;1;20
19766048;0;13;1;30
48160313;0;39;0;10
11530676;0;18;1;20
28856624;0;45;1;20
15378145;0;13;1;20
48265524;0;31;1;10
48627009;0;39;0;10
49088146;0;5;1;20
43083674;0;32;1;20
49577030;0;45;0;20
12402759;0;16;1;10
4933688;0;3;1;40
17179085;0;35;1;10
30384214;0;27;0;20
35369898;0;45;0;10
26399024;0;13;0;20
4803440;0;21;1;30
9523193;0;12;1;20
21245806;0;45;1;20
45919918;0;34;1;10
36939883;0;45;1;40
29567302;0;13;1;40
29247659;0;43;1;20
38979243;0;13;1;10
18826203;0;5;0;10
45611882;0;35;1;10
34357803;0;45;1;20
40866793;0;26;1;20
49273159;0;3;0;10
15576987;0;45;1;10
48940531;0;8;1;30
21360655;0;45;1;20
42327476;0;2;1;10
9818864;0;13;1;10
31182905;0;41;1;10
7563193;0;18;1;20
18498818;0;45;0;40
17074230;0;35;1;20
3546136;0;13;1;90
5793279;0;7;0;20
5703352;0;44;1;10
5972502;0;13;1;20
31904870;0;39;0;10
5241479;0;13;1;20
15394680;0;39;1;10
6763319;0;28;1;50
49108981;0;5;0;10
42478757;0;45;1;40
48597151;0;44;0;30
39360369;0;13;0;20
19013123;0;12;0;20
14325246;0;31;1;20
3727691;0;45;1;60
3412886;0;7;1;20
47874565;0;39;1;10
40400131;0;7;1;20
21635591;0;13;1;10
41724790;0;22;1;20
14437683;0;13;1;20
10160053;0;13;1;20
28618780;0;45;1;40
40575227;0;44;1;10
4845971;0;45;1;30
9216900;0;1;1;20
9362876;0;3;1;10
14245724;0;35;1;10
3200397;0;39;1;30
13674912;0;43;1;10
5502042;0;8;1;30
27637990;0;43;1;20
35605930;0;2;1;20
25694264;0;28;1;40
42439361;0;45;1;10
11600787;0;31;1;20
5329116;0;13;1;30
6942515;0;12;0;20
5482664;0;13;1;20
32845547;0;27;1;10
45404392;0;31;1;10
20452389;0;41;1;10
6473142;0;16;1;20
49614903;0;28;1;10
24990747;0;45;0;10
29338938;0;44;1;10
7679069;0;18;1;40
5048235;0;44;0;20
31675641;0;16;1;20
21171824;0;13;1;40
49280185;0;45;0;40
41386366;0;45;0;10
5710558;0;45;0;20
26971671;0;13;0;20
3649737;0;27;1;20
47383873;0;5;1;20
46916914;0;13;0;20
11979932;0;13;0;10
3875659;0;44;1;20
42454973;0;5;0;10
8848380;0;43;1;20
31346284;0;35;0;10
25399484;0;39;1;20
24255514;0;16;0;10
31431996;0;45;1;10
39250076;0;29;0;10
46587112;0;44;1;20
5128699;0;33;1;30
40762577;0;35;0;10
47610543;0;39;1;20
26245007;0;45;0;40
36277707;0;16;1;20
5574978;0;42;1;20
39601889;0;44;0;40
2467229;0;13;1;20
7401116;0;38;1;20
47578546;0;13;0;20
28117230;0;2;1;10
21638688;0;16;1;10
1070023;0;45;1;30
31398039;0;44;1;20
21726187;0;5;1;10
12312314;0;45;1;10
30060276;0;45;0;10
22569778;0;39;1;20
5072250;0;44;1;20
31378602;0;45;1;20
49570681;0;32;1;50
7681828;0;13;0;10
6731472;0;45;1;20
49300730;0;45;0;20
24425418;0;45;0;20
49079364;0;13;1;20
4168551;0;24;1;20
25016660;0;13;0;10
42102510;0;45;1;10
39490827;0;5;1;10
39923008;0;35;0;10
31435741;0;39;1;10
14004728;0;21;0;20
21877687;0;21;1;20
17919830;0;35;1;20
30536537;0;44;1;10
37363279;0;39;1;20
3868463;0;20;1;20
5302726;0;46;1;40
36403103;0;6;1;20
8579076;0;45;1;20
37486328;0;2;1;20
30833098;0;45;1;20
42673690;0;18;0;20
42242397;0;33;1;10
6882347;0;45;1;30
45177140;0;35;0;10
42526371;0;13;1;20
47158863;0;13;1;20
2248678;0;5;1;20
17634835;0;45;1;10
46607047;0;17;0;10
6087875;0;12;1;20
26021646;0;45;0;20
9597514;0;2;1;20
7078077;0;2;1;10
7278831;0;45;1;20
19994231;0;45;0;10
4677456;0;39;1;20
10898858;0;13;1;30
17830232;0;6;0;20
25078963;0;5;1;10
8071829;0;35;0;20
14978402;0;41;1;10
45664000;0;45;1;10
37355786;0;39;1;20
15581142;0;39;0;30
12572303;0;10;1;10
20969959;0;45;1;40
18377308;0;31;1;30
48828507;0;5;0;10
41423490;0;44;1;20
32347369;0;7;0;20
25275343;0;44;1;20
31619541;0;44;0;20
27837739;0;45;1;10
35583747;0;39;1;20
26249065;0;13;1;20
26692492;0;10;1;10
3322129;0;44;0;20
14503758;0;39;0;20
34060820;0;39;0;10
35387020;0;5;0;10
48378001;0;35;1;10
48946014;0;26;0;20
11351412;0;13;1;20
5060760;0;12;1;20
45641776;0;38;1;10
10015590;0;32;1;20
46168176;0;22;1;20
45320057;0;45;0;10
41651278;0;31;1;20
22277360;0;0;1;10
9407250;0;20;0;10
5584452;0;40;1;20
26505128;0;39;1;10
2509909;0;45;1;10
12657044;0;9;0;20
20660658;0;35;1;10
47593730;0;18;1;20
11508376;0;32;1;20
10949302;0;40;0;10
21897066;0;35;1;20
38862637;0;45;1;20
39507358;0;13;1;20
27355236;0;22;1;10
36642637;0;43;1;10
7336896;0;13;0;10
47128063;0;2;1;20
31641273;0;45;1;20
8731709;0;45;1;20
30345360;0;6;1;20
29870518;0;40;0;20
5923339;0;45;1;40
32388156;0;45;1;10
2556103;0;45;1;20
38586816;0;35;0;20
32715740;0;5;1;10
32695743;0;39;0;20
35357066;0;44;1;20
23528874;0;13;0;10
11675871;0;13;0;10
25337085;0;35;0;10
